prodcode,prodname,drugsubstance,bnfcode,strength
40964,tacrolimus once daily modified release capsules 3mg ,tacrolimus,8020200,3mg
40983,irinotecan hydrochloride concentrate for solution for infusion 40mg/2ml ,irinotecan hydrochloride,8010514,40mg/2ml
41054,alitretinoin capsules 30mg ,alitretinoin,13050100,30mg
41058,ENBREL FOR PAEDIATRIC USE powder for solution for injection 25mg [WYETH PHAR],etanercept,10010300,25mg
41077,gefitinib tablets 250mg ,gefitinib,8010530,250mg
41139,REVLIMID capsules 25mg [CELGENE],lenalidomide,8020400,25mg
41191,natalizumab concentrate for solution for infusion 300mg/15ml ,natalizumab,8020407,300mg/15ml
41266,cytarabine injection solution 1g/10ml ,cytarabine,8010300,1g/10ml
41267,mitoxantrone concentrate for solution for infusion 20mg/10ml ,mitoxantrone hydrochloride,8010200,20mg/10ml
41281,carmustine implant 7.7mg ,carmustine,8010100,7.7mg
41502,tocilizumab concentrate for solution for infusion 80mg/4ml ,tocilizumab,10010300,80mg/4ml
41620,AZATHIOPRINE tablets 50mg [TEVA],azathioprine,08020100/10010300/01050300,50mg
41670,AZATHIOPRINE tablets 50mg [CP PHARM],azathioprine,08020100/10010300/01050300,50mg
37,trimethoprim tablets 200mg ,trimethoprim,5010800,200mg
85,prochlorperazine maleate tablets 5mg ,prochlorperazine maleate,04020100/04060000,5mg
109,SEPTRIN ADULT suspension 480mg/5ml [WELLCOME],sulfamethoxazole/trimethoprim,05010800/05040800,480mg/5ml
131,SEPTRIN concentrate for solution for infusion 80mg + 400mg/5ml [WELLCOME],sulfamethoxazole/trimethoprim,05010800/05040800,80mg + 400mg/5ml
135,SEPTRIN tablets [WELLCOME],sulfamethoxazole/trimethoprim,05010800/05040800,
227,STEMETIL suppository 5mg [SANOFI/AVE],prochlorperazine maleate,04020100/04060000,5mg
228,FENTAZIN injection 5mg/ml [GOLDSHIELD],perphenazine,04020100/04060000,5mg/ml
279,vancomycin capsules 125mg ,vancomycin hydrochloride,5010703,125mg
280,MONOTRIM suspension 50mg/5ml [SOLVAY],trimethoprim,5010800,50mg/5ml
284,MELLERIL tablets 10mg [NOV/SANDOZ],thioridazine hydrochloride,4020100,10mg
302,risperidone liquid 1mg/ml ,risperidone,4020100,1mg/ml
303,co-trimoxazole concentrate for solution for infusion 16mg + 80mg/ml ,sulfamethoxazole/trimethoprim,05010800/05040800,16mg + 80mg/ml
329,haloperidol tablets 1.5mg ,haloperidol,04020100/04060000/04090300,1.5mg
340,trimethoprim tablets 100mg ,trimethoprim,5010800,100mg
350,carbimazole tablets 5mg ,carbimazole,6020200,5mg
403,sulfadiazine tablets 500mg ,sulfadiazine,5010800,500mg
475,haloperidol tablets 10mg ,haloperidol,04020100/04060000/04090300,10mg
477,trimethoprim suspension 50mg/5ml ,trimethoprim,5010800,50mg/5ml
512,STEMETIL tablets 5mg [CASTLEMEAD],prochlorperazine maleate,04020100/04060000,5mg
584,sodium valproate enteric coated tablets 200mg ,sodium valproate,4080100,200mg
588,chlorpromazine tablets 25mg ,chlorpromazine hydrochloride,04020100/04060000,25mg
595,amitriptyline hydrochloride with perphenazine tablets 25mg + 2mg ,amitriptyline hydrochloride/perphenazine,04020100/04030100,25mg + 2mg
606,co-trimoxazole tablets 80mg+400mg ,sulfamethoxazole/trimethoprim,05010800/05040800,80mg+400mg
609,perphenazine tablets 2mg ,perphenazine,04020100/04060000,2mg
631,RISPERDAL tablets 0.5mg [JANSSEN],risperidone,4020100,0.5mg
667,risperidone tablets 0.5mg ,risperidone,4020100,0.5mg
840,FENTAZIN tablets 2mg [GOLDSHIELD],perphenazine,04020100/04060000,2mg
1159,trifluoperazine modified release capsules 2mg ,trifluoperazine hydrochloride,04020100/04060000,2mg
1162,MELLERIL tablets 25mg [NOV/SANDOZ],thioridazine hydrochloride,4020100,25mg
1192,thioridazine tablets 10mg ,thioridazine hydrochloride,4020100,10mg
1199,co-trimoxazole paediatric oral suspension 40mg + 200mg/5ml ,sulfamethoxazole/trimethoprim,05010800/05040800,40mg + 200mg/5ml
1208,TRIPTAFEN tablets 2mg + 25mg [GOLDSHIELD],amitriptyline hydrochloride/perphenazine,04020100/04030100,2mg + 25mg
1218,thioridazine tablets 25mg ,thioridazine hydrochloride,4020100,25mg
1234,STEMETIL suppository 25mg [SANOFI/AVE],prochlorperazine maleate,04020100/04060000,25mg
1245,trifluoperazine tablets 5mg ,trifluoperazine hydrochloride,04020100/04060000,5mg
1249,olanzapine tablets 10mg ,olanzapine,4020100,10mg
1314,thioridazine tablets 50mg ,thioridazine hydrochloride,4020100,50mg
1316,STELAZINE tablets 5mg [GOLDSHIELD],trifluoperazine hydrochloride,04020100/04060000,5mg
1318,STELAZINE tablets 1mg [GOLDSHIELD],trifluoperazine hydrochloride,04020100/04060000,1mg
1319,CLOPIXOL tablets 10mg [LUNDBECK],zuclopenthixol dihydrochloride,4020100,10mg
1320,risperidone tablets 1mg ,risperidone,4020100,1mg
1321,risperidone tablets 2mg ,risperidone,4020100,2mg
1434,prochlorperazine maleate suppository 5mg ,prochlorperazine maleate,04020100/04060000,5mg
1453,TRIPTAFEN M tablets 2mg + 10mg [GOLDSHIELD],amitriptyline hydrochloride/perphenazine,04020100/04030100,2mg + 10mg
1467,co-trimoxazole tablets 160mg+800mg ,sulfamethoxazole/trimethoprim,05010800/05040800,160mg+800mg
1550,sodium valproate syrup 200mg/5ml ,sodium valproate,4080100,200mg/5ml
1604,SEPTRIN PAEDIATRIC sugar-free suspension [WELLCOME],sulfamethoxazole/trimethoprim,05010800/05040800,
1634,SEPTRIN PAEDIATRIC dispersible tablet [WELLCOME],sulfamethoxazole/trimethoprim,05010800/05040800,
1715,carbimazole tablets 20mg ,carbimazole,6020200,20mg
1733,flupentixol decanoate injection 20mg/ml ,flupentixol decanoate,4020200,20mg/ml
1735,STELAZINE SPANSULE 10mg [GOLDSHIELD],trifluoperazine hydrochloride,04020100/04060000,10mg
1857,trifluoperazine tablets 1mg ,trifluoperazine hydrochloride,04020100/04060000,1mg
1990,prochlorperazine maleate suppository 25mg ,prochlorperazine maleate,04020100/04060000,25mg
2082,EPILIM sugar free liquid 200mg/5ml [SANOFI S],sodium valproate,4080100,200mg/5ml
2094,HALDOL DECANOATE oily injection 50mg/1ml [JANSSEN],haloperidol decanoate,04020100/04020200,50mg/1ml
2135,sulpiride tablets 200mg ,sulpiride,04020100/04090300,200mg
2136,DEPIXOL injection 20mg/ml [LUNDBECK],flupentixol decanoate,4020200,20mg/ml
2154,chlorpromazine tablets 100mg ,chlorpromazine hydrochloride,04020100/04060000,100mg
2155,DEPIXOL -CONC injection 100mg/ml [LUNDBECK],flupentixol decanoate,4020200,100mg/ml
2156,DEPIXOL oily injection 40mg/2ml [LUNDBECK],flupentixol decanoate,4020200,40mg/2ml
2157,perphenazine tablets 4mg ,perphenazine,04020100/04060000,4mg
2276,flupentixol decanoate oily injection 40mg/2ml ,flupentixol decanoate,4020200,40mg/2ml
2419,haloperidol capsules 500micrograms ,haloperidol,04020100/04060000/04090300,500micrograms
2460,SEPTRIN FORTE tablets [WELLCOME],sulfamethoxazole/trimethoprim,05010800/05040800,
2474,chlorpromazine tablets 10mg ,chlorpromazine hydrochloride,04020100/04060000,10mg
2489,pimozide tablets 2mg ,pimozide,4020100,2mg
2502,MELLERIL tablets 50mg [NOV/SANDOZ],thioridazine hydrochloride,4020100,50mg
2540,benperidol tablets 250micrograms ,benperidol,4020100,250micrograms
2620,haloperidol oral liquid 1mg/ml ,haloperidol,04020100/04060000/04090300,1mg/ml
2621,haloperidol tablets 5mg ,haloperidol,04020100/04060000/04090300,5mg
2656,olanzapine tablets 2.5mg ,olanzapine,4020100,2.5mg
2658,co-trimoxazole adult oral suspension 80mg + 400mg/5ml ,sulfamethoxazole/trimethoprim,05010800/05040800,80mg + 400mg/5ml
2684,SUSTANON 100 oily injection [ORGANON],testosterone propionate/testosterone undecanoate/testosterone isocaproate/testosterone phenylpropionate,6040200,
2685,SUSTANON 250 oily injection [ORGANON],testosterone propionate/testosterone undecanoate/testosterone isocaproate/testosterone phenylpropionate,6040200,
2713,STELAZINE SPANSULE 2mg [GOLDSHIELD],trifluoperazine hydrochloride,04020100/04060000,2mg
2714,trifluoperazine modified release capsules 10mg ,trifluoperazine hydrochloride,04020100/04060000,10mg
2786,risperidone tablets 6mg ,risperidone,4020100,6mg
2787,risperidone tablets 4mg ,risperidone,4020100,4mg
2801,thioridazine syrup 10mg/5ml ,thioridazine hydrochloride,4020100,10mg/5ml
2814,LARGACTIL tablets 25mg [HAWGREEN],chlorpromazine hydrochloride,04020100/04060000,25mg
2822,EPILIM EC tablets 500mg [SANOFI S],sodium valproate,4080100,500mg
2972,promazine tablets 25mg ,promazine hydrochloride,4020100,25mg
3021,thioridazine tablets 100mg ,thioridazine hydrochloride,4020100,100mg
3079,dapsone tablets 50mg ,dapsone,05011000/05040100/05040800,50mg
3107,EPILIM CHRONO controlled release tablet 500mg [SANOFI S],sodium valproate,4080100,500mg
3197,promazine tablets 100mg ,promazine hydrochloride,4020100,100mg
3226,SPARINE tablets 50mg [WYETH PHAR],promazine hydrochloride,4020100,50mg
3227,SPARINE suspension 50mg/5ml [WYETH PHAR],promazine hydrochloride,4020100,50mg/5ml
3228,promazine tablets 50mg ,promazine hydrochloride,4020100,50mg
3233,haloperidol sugar free liquid 2mg/ml ,haloperidol,04020100/04060000/04090300,2mg/ml
3246,STEMETIL injection 12.5mg/1ml [CASTLEMEAD],prochlorperazine mesilate,04020100/04060000,12.5mg/1ml
3281,olanzapine tablets 5mg ,olanzapine,4020100,5mg
3348,chlorpromazine tablets 50mg ,chlorpromazine hydrochloride,04020100/04060000,50mg
3350,sodium valproate enteric coated tablets 500mg ,sodium valproate,4080100,500mg
3356,PARSTELIN tablets [GLAXSK CON],trifluoperazine hydrochloride/tranylcypromine sulphate,04020100/04030200,
3417,RESTANDOL capsules 40mg [ORGANON],testosterone undecanoate,6040200,40mg
3490,amitriptyline hydrochloride with perphenazine tablets 10mg + 2mg ,amitriptyline hydrochloride/perphenazine,04020100/04030100,10mg + 2mg
3579,MELLERIL suspension 25mg/5ml [NOV/SANDOZ],thioridazine hydrochloride,4020100,25mg/5ml
3605,thioridazine syrup 25mg/5ml ,thioridazine hydrochloride,4020100,25mg/5ml
3660,SEPTRIN dispersible tablet [WELLCOME],sulfamethoxazole/trimethoprim,05010800/05040800,
3671,haloperidol tablets 500micrograms ,haloperidol,04020100/04060000/04090300,500micrograms
3731,EPILIM EC tablets 200mg [SANOFI S],sodium valproate,4080100,200mg
3733,EPILIM CHRONO controlled release tablet 300mg [SANOFI S],sodium valproate,4080100,300mg
3734,EPILIM CHRONO controlled release tablet 200mg [SANOFI S],sodium valproate,4080100,200mg
3738,STEMETIL EFF sugar free powder 5mg [CASTLEMEAD],prochlorperazine mesilate,04020100/04060000,5mg
3772,LARGACTIL tablets 50mg [HAWGREEN],chlorpromazine hydrochloride,04020100/04060000,50mg
3773,droperidol tablets 10mg ,droperidol,04020100/15010401,10mg
3774,CLOPIXOL oily injection 200mg/ml [LUNDBECK],zuclopenthixol decanoate,04020100/04020200,200mg/ml
3775,zuclopenthixol decanoate oily injection 200mg/ml ,zuclopenthixol decanoate,04020100/04020200,200mg/ml
3785,MALOPRIM tablets 12.5mg + 100mg [WELLCOME],dapsone/pyrimethamine,5040100,12.5mg + 100mg
3845,sodium valproate sugar free liquid 200mg/5ml ,sodium valproate,4080100,200mg/5ml
3926,MODECATE injection 25mg/ml [SANOFI S],fluphenazine decanoate,4020200,25mg/ml
3932,prochlorperazine maleate tablets 25mg ,prochlorperazine maleate,04020100/04060000,25mg
3937,trifluoperazine modified release capsules 15mg ,trifluoperazine hydrochloride,04020100/04060000,15mg
3952,chlorpromazine syrup 25mg/5ml ,chlorpromazine hydrochloride,04020100/04060000,25mg/5ml
3955,tranylcypromine with trifluoperazine tablets ,trifluoperazine hydrochloride/tranylcypromine sulphate,04020100/04030200,
4195,EPILIM crushable tablets 100mg [SANOFI S],sodium valproate,4080100,100mg
4232,NOZINAN tablets 25mg [LINK],levomepromazine maleate,4020100,25mg
4234,haloperidol injection 5mg/ml ,haloperidol,04020100/04060000,5mg/ml
4401,prochlorperazine maleate modified release capsules 10mg ,prochlorperazine maleate,04020100/04060000,10mg
4434,chlorpromazine syrup 50mg/5ml ,chlorpromazine hydrochloride,04020100/04060000,50mg/5ml
4442,NOZINAN injection 25mg/ml [LINK],levomepromazine hydrochloride,4020100,25mg/ml
4495,EPILIM syrup 200mg/5ml [SANOFI S],sodium valproate,4080100,200mg/5ml
4502,sodium valproate crushable tablets 100mg ,sodium valproate,4080100,100mg
4524,ORAP tablets 2mg [JANSSEN],pimozide,4020100,2mg
4584,testosterone undecanoate capsules 40mg ,testosterone undecanoate,6040200,40mg
4673,MELLERIL syrup 25mg/5ml [NOV/SANDOZ],thioridazine hydrochloride,4020100,25mg/5ml
4820,RISPERDAL tablets 1mg [JANSSEN],risperidone,4020100,1mg
4876,amisulpride tablets 50mg ,amisulpride,4020100,50mg
4992,SOLIAN tablets 200mg [SANOFI S],amisulpride,4020100,200mg
5014,levomepromazine tablets 25mg ,levomepromazine maleate,4020100,25mg
5039,quetiapine tablets 100mg ,quetiapine fumarate,4020100,100mg
5040,quetiapine tablets 150mg ,quetiapine fumarate,4020100,150mg
5071,amisulpride tablets 200mg ,amisulpride,4020100,200mg
5192,haloperidol sugar free solution 1mg/5ml ,haloperidol,04020100/04060000/04090300,1mg/5ml
5212,fluphenazine tablets 1mg ,fluphenazine hydrochloride,4020100,1mg
5219,risperidone tablets 3mg ,risperidone,4020100,3mg
5262,RISPERDAL liquid 1mg/ml [JANSSEN],risperidone,4020100,1mg/ml
5280,vancomycin capsules 250mg ,vancomycin hydrochloride,5010703,250mg
5283,quetiapine tablets 25mg ,quetiapine fumarate,4020100,25mg
5298,fluphenazine tablets 5mg ,fluphenazine hydrochloride,4020100,5mg
5497,STEMETIL tablets 25mg [CASTLEMEAD],prochlorperazine maleate,04020100/04060000,25mg
5510,prochlorperazine mesilate injection 12.5mg/ml ,prochlorperazine mesilate,04020100/04060000,12.5mg/ml
5545,SERENACE capsules 0.5mg [IVAX],haloperidol,04020100/04060000/04090300,0.5mg
5597,MODITEN tablets 1mg [SANOFI S],fluphenazine hydrochloride,4020100,1mg
5653,olanzapine tablets 7.5mg ,olanzapine,4020100,7.5mg
5707,flupentixol tablets 3mg ,flupentixol dihydrochloride,4020100,3mg
5712,DEPIXOL tablets 3mg [LUNDBECK],flupentixol dihydrochloride,4020100,3mg
5762,CLOPIXOL ACUPHASE oily injection 50mg/ml [LUNDBECK],zuclopenthixol acetate,04020100/04020200,50mg/ml
5821,pimozide tablets 4mg ,pimozide,4020100,4mg
5848,valproic acid (as semisodium salt) enteric coated tablets 250mg ,valproate semisodium,4020300,250mg
5927,amisulpride tablets 400mg ,amisulpride,4020100,400mg
6023,olanzapine orodispersible tablet 10mg ,olanzapine,4020100,10mg
6036,prochlorperazine mesilate syrup 5mg/5ml ,prochlorperazine mesilate,04020100/04060000,5mg/5ml
6064,levomepromazine injection 25mg/ml ,levomepromazine hydrochloride,4020100,25mg/ml
6109,SOLIAN tablets 400mg [SANOFI S],amisulpride,4020100,400mg
6134,DOZIC sugar free liquid 1mg/ml [ROSEMONT],haloperidol,04020100/04060000/04090300,1mg/ml
6305,valproic acid (as semisodium salt) enteric coated tablets 500mg ,valproate semisodium,4020300,500mg
6373,risperidone orodispersible tablet 1mg ,risperidone,4020100,1mg
6412,olanzapine orodispersible tablet 5mg ,olanzapine,4020100,5mg
6443,promazine syrup 25mg/5ml ,promazine hydrochloride,4020100,25mg/5ml
6482,amisulpride oral solution 100mg/ml ,amisulpride,4020100,100mg/ml
6523,HALDOL injection 5mg/ml [JANSSEN],haloperidol,04020100/04060000,5mg/ml
6524,amisulpride tablets 100mg ,amisulpride,4020100,100mg
6560,sodium valproate modified release tablet 500mg ,sodium valproate,4080100,500mg
6561,aripiprazole tablets 10mg ,aripiprazole,4020100,10mg
6573,aripiprazole tablets 15mg ,aripiprazole,4020100,15mg
6711,sodium valproate modified release tablet 300mg ,sodium valproate,4080100,300mg
6838,olanzapine orodispersible tablet 15mg ,olanzapine,4020100,15mg
6850,olanzapine tablets 15mg ,olanzapine,4020100,15mg
6864,SEROQUEL tablets 200mg [ASTRAZENEC],quetiapine fumarate,4020100,200mg
6894,perphenazine with amitriptyline tablets 2mg + 25mg ,amitriptyline hydrochloride/perphenazine,04020100/04030100,2mg + 25mg
6994,dapsone tablets 100mg ,dapsone,05011000/05040100/05040800,100mg
7011,sodium valproate with valproic acid modified release tablet 300mg ,sodium valproate,4080100,300mg
7039,quetiapine tablets 300mg ,quetiapine fumarate,4020100,300mg
7064,DEPAKOTE tablets 250mg [SANOFI S],valproate semisodium,4020300,250mg
7194,NEBIDO oily injection 1000mg/4ml [SCHERING],testosterone undecanoate,6040200,1000mg/4ml
7233,zidovudine with lamivudine film coated tablets 300mg + 150mg ,zidovudine/lamivudine,5030101,300mg + 150mg
7382,risperidone orodispersible tablet 500 micrograms ,risperidone,4020100,500 micrograms
7390,levomepromazine tablets 6mg ,levomepromazine maleate,04020100/23000000,6mg
7407,testosterone undecanoate oily injection 1000mg/4ml ,testosterone undecanoate,6040200,1000mg/4ml
7420,BACTRIM tablets 480mg [ROCHE],sulfamethoxazole/trimethoprim,05010800/05040800,480mg
7421,BACTRIM ADULT suspension 480mg/5ml [ROCHE],sulfamethoxazole/trimethoprim,05010800/05040800,480mg/5ml
7436,SERENACE injection 5mg/ml [IVAX],haloperidol,04020100/04060000,5mg/ml
7479,STELAZINE injection 1mg/ml [GOLDSHIELD],trifluoperazine hydrochloride,04020100/04060000,1mg/ml
7493,LARGACTIL tablets 100mg [HAWGREEN],chlorpromazine hydrochloride,04020100/04060000,100mg
7514,LARGACTIL injection 50mg/2ml [SANOFI/AVE],chlorpromazine hydrochloride,04020100/04060000,50mg/2ml
7593,STEMETIL syrup 5mg/5ml [CASTLEMEAD],prochlorperazine mesilate,04020100/04060000,5mg/5ml
7616,TRIMOPAN suspension 50mg/5ml [BERK],trimethoprim,5010800,50mg/5ml
7833,NEULACTIL tablets 2.5mg [JHC HEALTH],pericyazine,4020100,2.5mg
7834,pericyazine tablets 2.5mg ,pericyazine,4020100,2.5mg
7918,MODITEN tablets 2.5mg [SANOFI S],fluphenazine hydrochloride,4020100,2.5mg
7919,FENTAZIN tablets 4mg [GOLDSHIELD],perphenazine,04020100/04060000,4mg
8031,NEULACTIL tablets 10mg [JHC HEALTH],pericyazine,4020100,10mg
8032,pericyazine tablets 10mg ,pericyazine,4020100,10mg
8042,STELAZINE SPANSULE 15mg [GOLDSHIELD],trifluoperazine hydrochloride,04020100/04060000,15mg
8044,REDEPTIN injection 2mg/ml [JANSSEN],fluspirilene,4020200,2mg/ml
8046,clozapine tablets 25mg ,clozapine,4020100,25mg
8047,clozapine tablets 100mg ,clozapine,4020100,100mg
8073,trimethoprim tablets 300mg ,trimethoprim,5010800,300mg
8129,haloperidol injection 10mg/ml ,haloperidol,04020100/04060000,10mg/ml
8153,SERENACE liquid 2mg/ml [IVAX],haloperidol,04020100/04060000/04090300,2mg/ml
8171,MONOTRIM tablets 200mg [SOLVAY],trimethoprim,5010800,200mg
8286,co-trimoxazole dispersible tablet 80mg+400mg ,sulfamethoxazole/trimethoprim,05010800/05040800,80mg+400mg
8311,chlorpromazine injection 25mg/ml ,chlorpromazine hydrochloride,04020100/04060000,25mg/ml
8377,fluphenazine tablets 2.5mg ,fluphenazine hydrochloride,4020100,2.5mg
8445,STELABID tablets [GLAXSK CON],isopropamide iodide/trifluoperazine hydrochloride,04020100/01020100,
8506,chlorpromazine suppository 100mg ,chlorpromazine,04020100/04060000,100mg
8519,chlorpromazine syrup 100mg/5ml ,chlorpromazine hydrochloride,04020100/04060000,100mg/5ml
8537,trifluoperazine injection 1mg/ml ,trifluoperazine hydrochloride,04020100/04060000,1mg/ml
8545,NEO-MERCAZOLE tablets 5mg [AMDIPHARM],carbimazole,6020200,5mg
8561,BACTRIM PAEDIATRIC sugar free syrup [ROCHE],sulfamethoxazole/trimethoprim,05010800/05040800,
8637,pimozide tablets 10mg ,pimozide,4020100,10mg
8689,VERTIGON SPANSULE 10mg [GLAXSK CON],prochlorperazine maleate,04020100/04060000,10mg
8712,flupentixol decanoate injection 100mg/ml ,flupentixol decanoate,4020200,100mg/ml
8741,BACTRIM dispersible tablet [ROCHE],sulfamethoxazole/trimethoprim,05010800/05040800,
8771,LARGACTIL tablets 10mg [HAWGREEN],chlorpromazine hydrochloride,04020100/04060000,10mg
8774,MELLERIL tablets 100mg [NOV/SANDOZ],thioridazine hydrochloride,4020100,100mg
8881,remoxipride capsules 150mg ,remoxipride hydrochloride monohydrate,4020100,150mg
8885,ORLEPT tablets 500mg [WOCKHARDT],sodium valproate,4080100,500mg
8903,sulpiride sugar free oral solution 200mg/5ml ,sulpiride,04020100/04090300,200mg/5ml
8921,INTEGRIN capsules 10mg [SANOFI S],oxypertine,4020100,10mg
8922,oxypertine capsules 10mg ,oxypertine,4020100,10mg
8979,SERENACE tablets 1.5mg [IVAX],haloperidol,04020100/04060000/04090300,1.5mg
8985,STELAZINE syrup 1mg/5ml [GOLDSHIELD],trifluoperazine hydrochloride,04020100/04060000,1mg/5ml
9022,fluphenazine decanoate injection 25mg/ml ,fluphenazine decanoate,4020200,25mg/ml
9100,co-trimoxazole dispersible tablet 160mg+800mg ,sulfamethoxazole/trimethoprim,05010800/05040800,160mg+800mg
9101,testosterone tablets 10mg ,testosterone,6040200,10mg
9190,chlorpromazine sugar free oral solution 25mg/5ml ,chlorpromazine hydrochloride,04020100/04060000,25mg/5ml
9247,sulpiride tablets 400mg ,sulpiride,04020100/04090300,400mg
9281,sodium valproate with valproic acid modified release tablet 200mg ,sodium valproate,4080100,200mg
9340,RISPERDAL tablets 3mg [JANSSEN],risperidone,4020100,3mg
9347,CLOPIXOL tablets 25mg [LUNDBECK],zuclopenthixol dihydrochloride,4020100,25mg
9387,thioridazine suspension 25mg/5ml ,thioridazine hydrochloride,4020100,25mg/5ml
9475,RISPERDAL tablets 4mg [JANSSEN],risperidone,4020100,4mg
9515,ZOLEPTIL tablets 50mg [ORION],zotepine,4020100,50mg
9590,prochlorperazine mesilate effervescent granules 5mg ,prochlorperazine mesilate,04020100/04060000,5mg
9659,RISPERDAL tablets 2mg [JANSSEN],risperidone,4020100,2mg
9686,zuclopenthixol dihydrochloride tablets 10mg ,zuclopenthixol dihydrochloride,4020100,10mg
9759,DEPAKOTE tablets 500mg [SANOFI S],valproate semisodium,4020300,500mg
9794,quetiapine tablets 200mg ,quetiapine fumarate,4020100,200mg
9965,chlorpromazine sugar free oral solution 100mg/5ml ,chlorpromazine hydrochloride,04020100/04060000,100mg/5ml
9975,haloperidol sugar free oral solution 1mg/ml ,haloperidol,04020100/04060000/04090300,1mg/ml
10046,TRIMOPAN tablets 200mg [BERK],trimethoprim,5010800,200mg
10107,quetiapine starter pack ,quetiapine fumarate,4020100,
10308,sulfamethoxazole with trimethoprim tablets 400mg + 80mg ,sulfamethoxazole/trimethoprim,05010800/05040800,400mg + 80mg
10318,sulfamethoxazole with trimethoprim concentrate for solution for infusion 80mg + 16mg/ml ,sulfamethoxazole/trimethoprim,05010800/05040800,80mg + 16mg/ml
10388,pyrimethamine with dapsone tablets 12.5mg + 100mg ,dapsone/pyrimethamine,5040100,12.5mg + 100mg
10401,testosterone propionate oily injection 50mg/ml ,testosterone propionate,6040200,50mg/ml
10405,thioridazine sugar free syrup 25mg/5ml ,thioridazine hydrochloride,4020100,25mg/5ml
10434,LARGACTIL syrup 25mg/5ml [HAWGREEN],chlorpromazine hydrochloride,04020100/04060000,25mg/5ml
10435,haloperidol oral liquid 10mg/ml ,haloperidol,04020100/04060000/04090300,10mg/ml
10514,fluphenazine decanoate injection 100mg/ml ,fluphenazine decanoate,4020200,100mg/ml
10565,haloperidol decanoate oily injection 50mg/1ml ,haloperidol decanoate,04020100/04020200,50mg/1ml
10666,DOLMATIL tablets 200mg [SANOFI S],sulpiride,04020100/04090300,200mg
10675,thioridazine suspension 100mg/5ml ,thioridazine hydrochloride,4020100,100mg/5ml
10680,NEO-MERCAZOLE tablets 20mg [AMDIPHARM],carbimazole,6020200,20mg
10745,BACTRIM DOUBLE STRENGTH tablets 160mg+800mg [ROCHE],sulfamethoxazole/trimethoprim,05010800/05040800,160mg+800mg
10780,promazine suspension 50mg/5ml ,promazine hydrochloride,4020100,50mg/5ml
10827,fluspirilene injection 2mg/ml ,fluspirilene,4020200,2mg/ml
10944,pipotiazine palmitate depot injection 50mg/ml ,pipotiazine palmitate,4020200,50mg/ml
11075,sodium valproate with valproic acid modified release tablet 500mg ,sodium valproate,4080100,500mg
11213,haloperidol sugar free solution 2mg/5ml ,haloperidol,04020100/04060000/04090300,2mg/5ml
11531,trifluoperazine sugar free oral solution 5mg/5ml ,trifluoperazine hydrochloride,04020100/04060000,5mg/5ml
11799,RISPERDAL tablets 6mg [JANSSEN],risperidone,4020100,6mg
11821,RISPERDAL QUICKLET orodispersible tablet 500 micrograms [JANSSEN],risperidone,4020100,500 micrograms
11828,risperidone orodispersible tablet 2mg ,risperidone,4020100,2mg
11938,amisulpride oral suspension 25mg/5ml ,amisulpride,04020100/23000000,25mg/5ml
12073,CLOPIXOL CONCENTRATE oily injection 500mg/1ml [LUNDBECK],zuclopenthixol decanoate,04020100/04020200,500mg/1ml
12128,MODECATE CONCENTRATE injection 100mg/ml [SANOFI S],fluphenazine decanoate,4020200,100mg/ml
12193,SPARINE tablets 25mg [WYETH PHAR],promazine hydrochloride,4020100,25mg
12195,pericyazine syrup 10mg/5ml ,pericyazine,4020100,10mg/5ml
12224,zuclopenthixol decanoate oily injection 500mg/1ml ,zuclopenthixol decanoate,04020100/04020200,500mg/1ml
12340,PIPORTIL depot injection 50mg/ml [JHC HEALTH],pipotiazine palmitate,4020200,50mg/ml
12386,HALDOL DECANOATE oily injection 100mg/1ml [JANSSEN],haloperidol decanoate,04020100/04020200,100mg/1ml
12387,haloperidol tablets 20mg ,haloperidol,04020100/04060000/04090300,20mg
12445,remoxipride capsules 300mg ,remoxipride hydrochloride monohydrate,4020100,300mg
12533,VIRORMONE tablets 25mg [P & B],methyltestosterone,6040200,25mg
12588,testosterone enantate oily injection 250mg/ml ,testosterone enantate,06040200/08030401,250mg/ml
12615,loxapine capsules 25mg ,loxapine,4020100,25mg
12616,loxapine capsules 10mg ,loxapine,4020100,10mg
12619,LOXAPAC capsules 25mg [WYETH PHAR],loxapine,4020100,25mg
12630,loxapine capsules 50mg ,loxapine,4020100,50mg
12666,sertindole tablets 4mg ,sertindole,4020100,4mg
12707,zuclopenthixol dihydrochloride tablets 2mg ,zuclopenthixol dihydrochloride,4020100,2mg
12921,HALDOL sugar free liquid 2mg/ml [JANSSEN],haloperidol,04020100/04060000/04090300,2mg/ml
12957,zidovudine sugar free oral solution 50mg/5ml ,zidovudine,5030101,50mg/5ml
13105,haloperidol oral solution 2mg/ml ,haloperidol,04020100/04060000/04090300,2mg/ml
13145,trifluoperazine syrup 1mg/5ml ,trifluoperazine hydrochloride,04020100/04060000,1mg/5ml
13306,MONOTRIM injection 20mg/ml [SOLVAY],trimethoprim,5010800,20mg/ml
13311,SPARINE injection 50mg/ml [WYETH PHAR],promazine hydrochloride,4020100,50mg/ml
13325,MONOTRIM tablets 100mg [SOLVAY],trimethoprim,5010800,100mg
13338,SERENACE tablets 5mg [IVAX],haloperidol,04020100/04060000/04090300,5mg
13368,CLOPIXOL tablets 2mg [LUNDBECK],zuclopenthixol dihydrochloride,4020100,2mg
