phenotype,CPRD,ICD,OPCS,name_portal,implementation,group,is_cancer,is_adult,file_stem,primary_care,secondary_care,death,case_note_review,ehr_sources,prognosis,genetic,cross_country,publications,type,id,primary_care,secondary_care,type,data_sources,clinical_terminologies,validation,valid_event_data_range,sex,date,modified_date,version,authors
Retinal Detachment,_data/primary_care/CPRD_retinal_detach.csv,_data/secondary_care/ICD_retinal_detach.csv,_data/secondary_care/OPCS_retinal_detach.csv,Retinal Detachment,"At the specified date, a patient is defined as having had 'Retinal detachments and breaks's and breaks IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Retinal detachments and breaks's and breaks diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Retinal detachments and breaks's and breaks or history of diagnosis during a hospitalization
OR
Secondary care (OPCS4)
1. ALL procedures for 'Retinal detachments and breaks's during a hospitalization",Eye,0,1,retinal_detach,['_data/primary_care/CPRD_retinal_detach.csv'],"['_data/secondary_care/ICD_retinal_detach.csv', '_data/secondary_care/OPCS_retinal_detach.csv']",,,,,,,,Disease or Syndrome,PHE00235,['_data/primary_care/CPRD_retinal_detach.csv'],"['_data/secondary_care/ICD_retinal_detach.csv', '_data/secondary_care/OPCS_retinal_detach.csv']",Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Retinal Vascular Occlusions,_data/primary_care/CPRD_retinal_vasc_occl.csv,_data/secondary_care/ICD_retinal_vasc_occl.csv,,Retinal Vascular Occlusions,"At the specified date, a patient is defined as having had 'Retinal vascular occlusions' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Retinal vascular occlusions' diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Retinal vascular occlusions' or history of diagnosis during a hospitalization",Eye,0,1,retinal_vasc_occl,['_data/primary_care/CPRD_retinal_vasc_occl.csv'],['_data/secondary_care/ICD_retinal_vasc_occl.csv'],,,,,,,,Disease or Syndrome,PHE00236,['_data/primary_care/CPRD_retinal_vasc_occl.csv'],['_data/secondary_care/ICD_retinal_vasc_occl.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Rheumatic Fever,_data/primary_care/CPRD_rh_fever.csv,_data/secondary_care/ICD_rh_fever.csv,,Rheumatic Fever,"At the specified date, a patient is defined as having had 'Rheumatic fever' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Rheumatic fever' diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Rheumatic fever' or history of diagnosis during a hospitalization",Infections,0,1,rh_fever,['_data/primary_care/CPRD_rh_fever.csv'],['_data/secondary_care/ICD_rh_fever.csv'],,,,,,,,Disease or Syndrome,PHE00237,['_data/primary_care/CPRD_rh_fever.csv'],['_data/secondary_care/ICD_rh_fever.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Rheumatic Valve Disease,_data/primary_care/CPRD_Rh_valve.csv,_data/secondary_care/ICD_Rh_valve.csv,,Rheumatic Valve Disease,"At the specified date, a patient is defined as having had 'Rheumatic valve dz' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Rheumatic valve dz' diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Rheumatic valve dz' or history of diagnosis during a hospitalization",Cardiovascular,0,1,Rh_valve,['_data/primary_care/CPRD_Rh_valve.csv'],['_data/secondary_care/ICD_Rh_valve.csv'],,,,,,,,Disease or Syndrome,PHE00238,['_data/primary_care/CPRD_Rh_valve.csv'],['_data/secondary_care/ICD_Rh_valve.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Rheumatoid Arthritis,_data/primary_care/CPRD_RhA.csv,_data/secondary_care/ICD_RhA.csv,,Rheumatoid Arthritis,"At the specified date, a patient is defined as having had 'Rheumatoid Arthritis' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Rheumatoid Arthritis' diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Rheumatoid Arthritis' or history of diagnosis during a hospitalization",Musculoskeletal ,0,1,RhA,['_data/primary_care/CPRD_RhA.csv'],['_data/secondary_care/ICD_RhA.csv'],,,,,,,,Disease or Syndrome,PHE00239,['_data/primary_care/CPRD_RhA.csv'],['_data/secondary_care/ICD_RhA.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Right Bundle Branch Block,_data/primary_care/CPRD_RBBB.csv,_data/secondary_care/ICD_RBBB.csv,,Right Bundle Branch Block,"At the specified date, a patient is defined as having had 'Right bundle branch block' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Right bundle branch block' diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Right bundle branch block' or history of diagnosis during a hospitalization",Cardiovascular,0,1,RBBB,['_data/primary_care/CPRD_RBBB.csv'],['_data/secondary_care/ICD_RBBB.csv'],,,,,,,,Disease or Syndrome,PHE00240,['_data/primary_care/CPRD_RBBB.csv'],['_data/secondary_care/ICD_RBBB.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Rosacea,_data/primary_care/CPRD_rosacea.csv,_data/secondary_care/ICD_rosacea.csv,,Rosacea,"At the specified date, a patient is defined as having had 'Rosacea' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Rosacea' diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Rosacea' or history of diagnosis during a hospitalization",Skin,0,1,rosacea,['_data/primary_care/CPRD_rosacea.csv'],['_data/secondary_care/ICD_rosacea.csv'],,,,,,,,Disease or Syndrome,PHE00241,['_data/primary_care/CPRD_rosacea.csv'],['_data/secondary_care/ICD_rosacea.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Sarcoidosis,_data/primary_care/CPRD_sarcoid.csv,_data/secondary_care/ICD_sarcoid.csv,,Sarcoidosis,"At the specified date, a patient is defined as having had 'Sarcoidosis' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Sarcoidosis' diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Sarcoidosis' or history of diagnosis during a hospitalization",Haematological or immunological,0,1,sarcoid,['_data/primary_care/CPRD_sarcoid.csv'],['_data/secondary_care/ICD_sarcoid.csv'],,,,,,,,Disease or Syndrome,PHE00242,['_data/primary_care/CPRD_sarcoid.csv'],['_data/secondary_care/ICD_sarcoid.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Schizophrenia,_data/primary_care/CPRD_schizo.csv,_data/secondary_care/ICD_schizo.csv,,Schizophrenia,"At the specified date, a patient is defined as having had 'Schizophrenia, schizotypal and delusional disorders', schizotypal and delusional disorders IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Schizophrenia, schizotypal and delusional disorders', schizotypal and delusional disorders diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Schizophrenia, schizotypal and delusional disorders', schizotypal and delusional disorders or history of diagnosis during a hospitalization",Psychiatric,0,1,schizo,['_data/primary_care/CPRD_schizo.csv'],['_data/secondary_care/ICD_schizo.csv'],,,,,,,,Disease or Syndrome,PHE00243,['_data/primary_care/CPRD_schizo.csv'],['_data/secondary_care/ICD_schizo.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Scleritis,_data/primary_care/CPRD_scleritis.csv,_data/secondary_care/ICD_scleritis.csv,,Scleritis,"At the specified date, a patient is defined as having had 'Scleritis and episcleritis' and epi'Scleritis and episcleritis' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Scleritis and episcleritis' and epi'Scleritis and episcleritis' diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Scleritis and episcleritis' and epi'Scleritis and episcleritis' or history of diagnosis during a hospitalization",Eye,0,1,scleritis,['_data/primary_care/CPRD_scleritis.csv'],['_data/secondary_care/ICD_scleritis.csv'],,,,,,,,Disease or Syndrome,PHE00244,['_data/primary_care/CPRD_scleritis.csv'],['_data/secondary_care/ICD_scleritis.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Scoliosis,_data/primary_care/CPRD_scoliosis.csv,_data/secondary_care/ICD_scoliosis.csv,,Scoliosis,"At the specified date, a patient is defined as having had 'Scoliosis' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Scoliosis' diagnosis or history of diagnosis or procedure during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Scoliosis' or history of diagnosis during a hospitalization",Musculoskeletal ,0,1,scoliosis,['_data/primary_care/CPRD_scoliosis.csv'],['_data/secondary_care/ICD_scoliosis.csv'],,,,,,,,Disease or Syndrome,PHE00245,['_data/primary_care/CPRD_scoliosis.csv'],['_data/secondary_care/ICD_scoliosis.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Seborrheic Dermatitis,_data/primary_care/CPRD_seb_derm.csv,_data/secondary_care/ICD_seb_derm.csv,,Seborrheic Dermatitis,"At the specified date, a patient is defined as having had 'Seborrheic dermatitis' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Seborrheic dermatitis' diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Seborrheic dermatitis' or history of diagnosis during a hospitalization",Skin,0,1,seb_derm,['_data/primary_care/CPRD_seb_derm.csv'],['_data/secondary_care/ICD_seb_derm.csv'],,,,,,,,Disease or Syndrome,PHE00246,['_data/primary_care/CPRD_seb_derm.csv'],['_data/secondary_care/ICD_seb_derm.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Secondary Malignancy - Adrenal,_data/primary_care/CPRD_sec_adrenal.csv,_data/secondary_care/ICD_sec_adrenal.csv,,Secondary Malignancy - Adrenal,"At the specified date, a patient is defined as having had Secondary Malignancy Adrenal gland IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. Secondary Malignancy Adrenal gland diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of Secondary Malignancy Adrenal gland or history of diagnosis during a hospitalization",Cancers,1,1,sec_adrenal,['_data/primary_care/CPRD_sec_adrenal.csv'],['_data/secondary_care/ICD_sec_adrenal.csv'],,,,,,,,Disease or Syndrome,PHE00247,['_data/primary_care/CPRD_sec_adrenal.csv'],['_data/secondary_care/ICD_sec_adrenal.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Secondary Malignancy - Bone,_data/primary_care/CPRD_sec_bone.csv,_data/secondary_care/ICD_sec_bone.csv,,Secondary Malignancy - Bone,"At the specified date, a patient is defined as having had Secondary Malignancy Bone IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. Secondary Malignancy Bone diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of Secondary Malignancy Bone or history of diagnosis during a hospitalization",Cancers,1,1,sec_bone,['_data/primary_care/CPRD_sec_bone.csv'],['_data/secondary_care/ICD_sec_bone.csv'],,,,,,,,Disease or Syndrome,PHE00248,['_data/primary_care/CPRD_sec_bone.csv'],['_data/secondary_care/ICD_sec_bone.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Secondary Malignancy - Bowel,_data/primary_care/CPRD_sec_bowel.csv,_data/secondary_care/ICD_sec_bowel.csv,,Secondary Malignancy - Bowel,"At the specified date, a patient is defined as having had Secondary Malignancy Bowel IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. Secondary Malignancy Bowel diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of Secondary Malignancy Bowel or history of diagnosis during a hospitalization",Cancers,1,1,sec_bowel,['_data/primary_care/CPRD_sec_bowel.csv'],['_data/secondary_care/ICD_sec_bowel.csv'],,,,,,,,Disease or Syndrome,PHE00249,['_data/primary_care/CPRD_sec_bowel.csv'],['_data/secondary_care/ICD_sec_bowel.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Secondary Malignancy - Brain,_data/primary_care/CPRD_sec_brain.csv,_data/secondary_care/ICD_sec_brain.csv,,Secondary Malignancy - Brain,"At the specified date, a patient is defined as having had Secondary Malignancy Brain, Other CNS and Intracranial IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. Secondary Malignancy Brain, Other CNS and Intracranial diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of Secondary Malignancy Brain, Other CNS and Intracranial or history of diagnosis during a hospitalization",Cancers,1,1,sec_brain,['_data/primary_care/CPRD_sec_brain.csv'],['_data/secondary_care/ICD_sec_brain.csv'],,,,,,,,Disease or Syndrome,PHE00250,['_data/primary_care/CPRD_sec_brain.csv'],['_data/secondary_care/ICD_sec_brain.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Secondary Malignancy - Lung,_data/primary_care/CPRD_sec_lung.csv,_data/secondary_care/ICD_sec_lung.csv,,Secondary Malignancy - Lung,"At the specified date, a patient is defined as having had Secondary Malignancy Lung IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. Secondary Malignancy Lung diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of Secondary Malignancy Lung or history of diagnosis during a hospitalization",Cancers,1,1,sec_lung,['_data/primary_care/CPRD_sec_lung.csv'],['_data/secondary_care/ICD_sec_lung.csv'],,,,,,,,Disease or Syndrome,PHE00251,['_data/primary_care/CPRD_sec_lung.csv'],['_data/secondary_care/ICD_sec_lung.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Secondary Malignancy - Lymph Nodes,_data/primary_care/CPRD_sec_LN.csv,_data/secondary_care/ICD_sec_LN.csv,,Secondary Malignancy - Lymph Nodes,"At the specified date, a patient is defined as having had Secondary Malignancy Lymph Nodes IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. Secondary Malignancy Lymph Nodes diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of Secondary Malignancy Lymph Nodes or history of diagnosis during a hospitalization",Cancers,1,1,sec_LN,['_data/primary_care/CPRD_sec_LN.csv'],['_data/secondary_care/ICD_sec_LN.csv'],,,,,,,,Disease or Syndrome,PHE00252,['_data/primary_care/CPRD_sec_LN.csv'],['_data/secondary_care/ICD_sec_LN.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Secondary Malignancy - Other,_data/primary_care/CPRD_sec_other.csv,_data/secondary_care/ICD_sec_other.csv,,Secondary Malignancy - Other,"At the specified date, a patient is defined as having had Secondary Malignancy Other organs IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. Secondary Malignancy Other organs diagnosis or history of diagnosis during a consultation 
OR
2. Secondary Malignancy Other organs possible diagnosis during a consultation IF NO record satisfying criteria for Secondary Malignancy of any other organ
OR
Secondary care
1. ALL diagnoses of Secondary Malignancy Other organs or history of diagnosis during a hospitalization
2. ALL possible diagnosis of Secondary Malignancy Other organs during a hospitalization IF NO record satisfying criteria for Secondary Malignancy of any other organ",Cancers,1,1,sec_other,['_data/primary_care/CPRD_sec_other.csv'],['_data/secondary_care/ICD_sec_other.csv'],,,,,,,,Disease or Syndrome,PHE00253,['_data/primary_care/CPRD_sec_other.csv'],['_data/secondary_care/ICD_sec_other.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Secondary Malignancy - Pleura,_data/primary_care/CPRD_sec_pleura.csv,_data/secondary_care/ICD_sec_pleura.csv,,Secondary Malignancy - Pleura,"At the specified date, a patient is defined as having had Secondary Malignancy Pleura IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. Secondary Malignancy Pleura diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of Secondary Malignancy Pleura or history of diagnosis during a hospitalization",Cancers,1,1,sec_pleura,['_data/primary_care/CPRD_sec_pleura.csv'],['_data/secondary_care/ICD_sec_pleura.csv'],,,,,,,,Disease or Syndrome,PHE00254,['_data/primary_care/CPRD_sec_pleura.csv'],['_data/secondary_care/ICD_sec_pleura.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Secondary Malignancy Peritoneum,_data/primary_care/CPRD_sec_peritoneum.csv,_data/secondary_care/ICD_sec_peritoneum.csv,,Secondary Malignancy Peritoneum,"At the specified date, a patient is defined as having had Secondary Malignancy retroperitoneum and peritoneum IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. Secondary Malignancy_retroperitoneum and peritoneum diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of Secondary Malignancy_retroperitoneum and peritoneum or history of diagnosis during a hospitalization",Cancers,1,1,sec_peritoneum,['_data/primary_care/CPRD_sec_peritoneum.csv'],['_data/secondary_care/ICD_sec_peritoneum.csv'],,,,,,,,Disease or Syndrome,PHE00255,['_data/primary_care/CPRD_sec_peritoneum.csv'],['_data/secondary_care/ICD_sec_peritoneum.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Secondary Malignancy - Liver,_data/primary_care/CPRD_sec_liver.csv,_data/secondary_care/ICD_sec_liver.csv,,Secondary malignancy - Liver,"At the specified date, a patient is defined as having had Secondary malignancy Liver and intrahepatic bile duct IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. Secondary malignancy Liver and intrahepatic bile duct diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of Secondary malignancy Liver and intrahepatic bile duct or history of diagnosis during a hospitalization",Cancers,1,1,sec_liver,['_data/primary_care/CPRD_sec_liver.csv'],['_data/secondary_care/ICD_sec_liver.csv'],,,,,,,,Disease or Syndrome,PHE00256,['_data/primary_care/CPRD_sec_liver.csv'],['_data/secondary_care/ICD_sec_liver.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
